"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"23:43:40,6959166","parent.exe","20288","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS",""
"23:43:40,6959389","parent.exe","20288","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS","Desired Access: Read"
"23:43:40,6959496","parent.exe","20288","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\sysmain.sdb","NAME NOT FOUND","Length: 0"
"23:43:40,6959593","parent.exe","20288","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS",""
"23:43:40,6959711","parent.exe","20288","QueryBasicInformationFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS","CreationTime: 20.11.2025 23:18:21, LastAccessTime: 20.11.2025 23:43:40, LastWriteTime: 20.11.2025 23:23:37, ChangeTime: 20.11.2025 23:23:37, FileAttributes: A"
"23:43:40,6960682","parent.exe","20288","CreateFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"23:43:40,6962319","parent.exe","20288","CreateFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"23:43:40,6962604","parent.exe","20288","QueryBasicInformationFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS","CreationTime: 20.11.2025 23:18:21, LastAccessTime: 20.11.2025 23:43:40, LastWriteTime: 20.11.2025 23:23:37, ChangeTime: 20.11.2025 23:23:37, FileAttributes: A"
"23:43:40,6962747","parent.exe","20288","CloseFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS",""
"23:43:40,6963647","parent.exe","20288","CreateFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS","Desired Access: Generic Read/Execute, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
